n_agents,n_prices,memory,n_steps,convergence_check_window,alpha,gamma,beta,seed,delta,avg_profit_mean,p_nash,p_monop
2,20,1,100000,15000,0.05,0.95,4e-06,4,0.35019311174934314,0.2638840761518283,1.476,1.924
2,20,1,100000,15000,0.3,0.95,4e-06,0,0.3589871952019686,0.26488020979773075,1.476,1.924
2,20,1,100000,15000,0.3,0.95,4e-06,1,0.34352237711130834,0.26312846094171227,1.476,1.924
2,20,1,100000,15000,0.3,0.95,4e-06,2,0.34459179156382586,0.2632495968990074,1.476,1.924
4,10,1,100000,15000,0.15,0.95,4e-06,3,0.20872276557333122,0.10653503451804107,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,0,0.20968075286496343,0.10664952509845622,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,2,0.20939648472910433,0.10661555176274258,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,1,0.21328616016716262,0.10708041304265706,1.332,2.056
4,10,1,100000,15000,0.15,0.95,4e-06,4,0.20712223253598225,0.10634375227659551,1.332,2.056
2,20,1,100000,15000,0.3,0.95,4e-06,4,0.342337214151292,0.2629942137848926,1.476,1.924
2,20,1,100000,15000,0.3,0.95,4e-06,3,0.3572744343001313,0.2646861999533965,1.476,1.924
3,5,1,100000,15000,0.5,0.95,4e-06,0,0.18154122364124786,0.144202639078,1.3719999999999999,2.0
2,15,1,100000,15000,0.3,0.95,1e-06,0,0.3511287703522846,0.26399006116100965,1.476,1.924
3,5,1,100000,15000,0.5,0.95,4e-06,1,0.18430783298466216,0.14456026242530845,1.3719999999999999,2.0
3,5,1,100000,15000,0.5,0.95,4e-06,2,0.17976200890678556,0.1439726504348858,1.3719999999999999,2.0
3,5,1,100000,15000,0.5,0.95,4e-06,4,0.17950145213724586,0.14393896979099277,1.3719999999999999,2.0
3,5,1,100000,15000,0.5,0.95,4e-06,3,0.19083471594036877,0.14540395426624955,1.3719999999999999,2.0
